Use Group,Use Header,Use Name,Zoning District,Permitted Value
I,Agriculture,"Agricultural #uses#, including greenhouses, nurseries or truck gardens",R1,●P
I,Open Uses,Cemeteries,R1,–
I,Open Uses,Golf courses,R1,●
I,Open Uses,Outdoor racket courts,R1,○
I,Open Uses,Outdoor skating rinks,R1,○
I,Open Uses,#Public parks# or playgrounds or private parks,R1,●
I,Open Uses,"Sand, gravel or clay pits",R1,○
II,Residential Uses,#Single-family residence# #Detached#,R1,●
II,Residential Uses,#Single-family residence# #Zero lot line#,R1,–
II,Residential Uses,#Single-family residence# #Semi-detached#,R1,–
II,Residential Uses,#Single-family residence# Other types,R1,–
II,Residential Uses,#Two-family residence# #Detached#,R1,–
II,Residential Uses,#Two-family residence# #Zero lot line#,R1,–
II,Residential Uses,#Two-family residence# #Semi-detached#,R1,–
II,Residential Uses,#Two-family residence# Other types,R1,–
II,Residential Uses,"All other types of #residences#, including #apartment hotels# and #affordable independent residences for seniors#",R1,–
III(A),Educational Institutions,College or school student dormitories and fraternity or sorority student houses,R1,○
III(A),Faith-based Institutions and Facilities,"Monasteries, convents or novitiates",R1,●
III(A),Faith-based Institutions and Facilities,Rectories or parish houses with sleeping accommodations,R1,●
III(A),Faith-based Institutions and Facilities,Seminaries with sleeping accommodations,R1,●
III(A),Health Institutions and Facilities,#Long-term care facilities#,R1,○
III(A),Health Institutions and Facilities,#Non-profit hospital staff dwellings#,R1,●P
III(A),Other Institutions and Facilities,Philanthropic or non-profit institutions with sleeping accommodations,R1,●S
III(A),Other Institutions and Facilities,Settlement houses,R1,●
III(B),Educational Institutions,"Colleges or universities, including professional schools but excluding business colleges or trade schools",R1,○
III(B),Educational Institutions,#Schools#,R1,●
III(B),Faith-based Institutions and Facilities,Houses of worship,R1,●
III(B),Faith-based Institutions and Facilities,Parish houses without sleeping accommodations,R1,●
III(B),Faith-based Institutions and Facilities,Seminaries without sleeping accommodations,R1,●
III(B),Health Institutions and Facilities,Ambulatory diagnostic or treatment health care facilities,R1,–
III(B),Health Institutions and Facilities,"Non-profit or voluntary hospitals and related facilities, except animal hospitals",R1,●
III(B),Health Institutions and Facilities,"Proprietary hospitals and related facilities, except animal hospitals",R1,–
III(B),Other Institutions and Facilities,Community centers,R1,●
III(B),Other Institutions and Facilities,Libraries,R1,●
III(B),Other Institutions and Facilities,Museums,R1,●
III(B),Other Institutions and Facilities,Non-commercial art galleries,R1,●
III(B),Other Institutions and Facilities,Non-commercial clubs,R1,○
III(B),Other Institutions and Facilities,Non-commercial recreation centers,R1,●
III(B),Other Institutions and Facilities,"Philanthropic or non-profit institutions without sleeping accommodations, excluding ambulatory diagnostic or treatment health care facilities",R1,●S
III(B),Other Institutions and Facilities,Welfare centers,R1,○
IV(A),Public Service Buildings,Court houses,R1,–
IV(A),Public Service Buildings,Fire or police stations,R1,○
IV(A),Other Facilities,Prisons,R1,–
IV(B),Communication Infrastructure,"Radio or television towers, non-#accessory#",R1,○
IV(B),Communication Infrastructure,Telephone exchanges or other communications equipment structures,R1,○
IV(B),Electric and Gas Infrastructure,Electric power or steam generating plants,R1,–
IV(B),Electric and Gas Infrastructure,Electric utility substations,R1,○
IV(B),Electric and Gas Infrastructure,Gas utility substations,R1,○
IV(B),Electric and Gas Infrastructure,Public utility stations for oil or gas metering or regulating,R1,○
IV(B),Electric and Gas Infrastructure,"Terminal facilities at river crossings for access to electric, gas, or steam lines",R1,○
IV(B),"Sewage, Storm Water and Waste Infrastructure",Composting,R1,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Dumps, recycling or material recovery facilities, marine transfer stations for garbage or slag piles",R1,–
IV(B),"Sewage, Storm Water and Waste Infrastructure","Incineration or reduction of garbage, offal or dead animals",R1,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Radioactive waste disposal services involving the handling or storage of radioactive waste,R1,–
IV(B),"Sewage, Storm Water and Waste Infrastructure",Sewage disposal plants,R1,○
IV(B),"Sewage, Storm Water and Waste Infrastructure",Water or sewage pumping stations,R1,○
IV(B),Transportation Infrastructure,Airports,R1,–
IV(B),Transportation Infrastructure,Boat launching facilities for non-commercial pleasure boats,R1,–
IV(B),Transportation Infrastructure,Bus stations,R1,–
IV(B),Transportation Infrastructure,Docks,R1,–
IV(B),Transportation Infrastructure,"Freight terminals, yards or appurtenances, or facilities or services used or required in railroad operations, but not including passenger stations",R1,–
IV(B),Transportation Infrastructure,Heliports,R1,–
IV(B),Transportation Infrastructure,Mooring facilities for non-commercial pleasure boats,R1,–
IV(B),Transportation Infrastructure,Public transit or railroad electric substations,R1,○
IV(B),Transportation Infrastructure,"Public transit yards, including #accessory# motor fuel pumps",R1,–
IV(B),Transportation Infrastructure,Railroad or transit rights-of-way,R1,●
IV(B),Transportation Infrastructure,Railroad passenger stations,R1,○
IV(B),Transportation Infrastructure,Seaplane bases,R1,○
IV(B),Transportation Infrastructure,Truck weighing stations,R1,–
IV(C),Renewable Energy and Green Infrastructure,#Energy infrastructure equipment#,R1,●S     P
IV(C),Renewable Energy and Green Infrastructure,Public bicycle and micromobility parking,R1,–
IV(C),Renewable Energy and Green Infrastructure,"Recycling, or organic material, receiving",R1,–
V,Transient Accommodations,#Motels#,R1,–
V,Transient Accommodations,Overnight camps,R1,○
V,Transient Accommodations,#Tourist cabins#,R1,–
V,Transient Accommodations,#Transient hotels#,R1,–
VI Retail,Motor Vehicle and Parts Dealer (441),Automobile dealers (4411),R1,–
VI Retail,Motor Vehicle and Parts Dealer (441),Boat dealers (441222),R1,–
VI Retail,Motor Vehicle and Parts Dealer (441),All other motor vehicle dealers (in 4412),R1,–
VI Retail,Motor Vehicle and Parts Dealer (441),"Automotive parts, accessories and tire retailers (4413)",R1,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),"Lumber yards, retail (in 444180)",R1,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),All other building material and supplies dealers (in 4441),R1,–
VI Retail,Building Material and Garden Equipment and Supplies Dealer (444),Lawn and garden equipment and supplies retailers (4442),R1,–
VI Retail,Food and Beverage Retailers (445),Grocery and convenience retailers (4451),R1,–
VI Retail,Food and Beverage Retailers (445),Specialty food retailers (4452),R1,–
VI Retail,Food and Beverage Retailers (445),"Beer, wine and liquor retailers (4453)",R1,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Furniture and home furnishing retailers (4491),R1,–
VI Retail,"Furniture, Home Furnishings, Electronics, and Appliance Retailers (449)",Electronics and appliance retailers (4492),R1,–
VI Retail,General Merchandise Retailers (455),Department stores (4551),R1,–
VI Retail,General Merchandise Retailers (455),"Warehouse clubs, supercenters, and other general merchandise retailers (4552)",R1,–
VI Retail,Health and Personal Care Retailers (456),Health and personal care retailers (4561),R1,–
VI Retail,Gasoline Stations and Fuel Dealers (457),#Automotive service stations#,R1,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Electric vehicle charging and battery swapping,R1,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Boat fuel sales,R1,–
VI Retail,Gasoline Stations and Fuel Dealers (457),Fuel dealers (4572),R1,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Clothing and clothing accessories retailers (4581),R1,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)",Shoe retailers (4582),R1,–
VI Retail,"Clothing, Clothing Accessories, Shoe and Jewelry Retailers (458)","Jewelry, luggage, and leather goods retailers (4583)",R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Sporting goods retailers (45911),R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",All other hobby and musical instrument retailers (in 4591),R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Book retailers,R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",News dealers,R1,–
VI Retail,"Sporting Goods, Hobby, Musical Instrument, Book and Miscellaneous Retailers (459)",Florists (4593),R1,–
